prompt_id,category,subcategory,prompt_text,success_criteria,expected_primary_contacts,expected_root_motion,expected_arm_role,hardness,current_motionbricks_support,motionbricks_mode_hint,evaluation_notes
hrb_001,dynamic_locomotion,forward_walk,Walk forward at a comfortable indoor pace with symmetric arm swing.,forward progress; upright torso; alternating foot contacts,feet,forward_or_task_dependent,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_idle_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_002,dynamic_locomotion,backward_walk,Walk backward for several steps while keeping the chest facing forward.,backward displacement; upright torso; no spin,feet,backward,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_idle_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_003,dynamic_locomotion,side_shuffle_left,Shuffle two meters to the robot's left with quick lateral steps.,leftward displacement; lateral cadence; feet remain under support,feet,leftward,natural_or_unspecified,medium_high,__YES_MODE_PROXY__,walk_left,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_004,dynamic_locomotion,side_shuffle_right,Shuffle two meters to the robot's right with quick lateral steps.,rightward displacement; lateral cadence; feet remain under support,feet,rightward,natural_or_unspecified,medium_high,__YES_MODE_PROXY__,walk_right,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_005,dynamic_locomotion,turn_in_place,Turn in place one hundred eighty degrees and stop facing the opposite direction.,large yaw change; low translation; balanced final stance,feet,mostly_stationary,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_idle_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_006,dynamic_locomotion,march_high_knees,March in place with clear alternating high-knee lifts.,low translation; alternating knee lift; regular rhythm,feet;knee,mostly_stationary,natural_or_unspecified,medium_high,__PARTIAL__,walk_or_idle_mode,Use MotionSpec predicates plus physics/contact/controller/visual audit.
hrb_007,dynamic_locomotion,vertical_jump,Perform a small vertical jump and land with both feet at the starting spot.,flight phase; two-foot takeoff and landing; stable recovery,feet,aerial_or_impulsive,natural_or_unspecified,high,__NO__,requires_new_generator_control,Target prompt for future methods; current MotionBricks preview needs task-conditioned generation or retargeting.
hrb_008,dynamic_locomotion,broad_jump,Jump forward a short distance and land in a balanced two-foot stance.,forward aerial displacement; controlled landing; no hand contact,feet,aerial_or_impulsive,natural_or_unspecified,high,__NO__,requires_new_generator_control,Target prompt for future methods; current MotionBricks preview needs task-conditioned generation or retargeting.
hrb_009,dynamic_locomotion,one_leg_hop_right,Hop in place three times on the right leg while the left knee stays lifted.,right foot support; repeated flight; stable trunk,one_foot,aerial_or_impulsive,natural_or_unspecified,high,__NO__,requires_new_generator_control,Target prompt for future methods; current MotionBricks preview needs task-conditioned generation or retargeting.
hrb_010,dynamic_locomotion,one_leg_hop_left,Hop in place three times on the left leg while the right knee stays lifted.,left foot support; repeated flight; stable trunk,one_foot,aerial_or_impulsive,natural_or_unspecified,high,__NO__,requires_new_generator_control,Target prompt for future methods; current MotionBricks preview needs task-conditioned generation or retargeting.
