prompt_id,category,motionbricks_mode,seed_idx,n_frames,target_speed_mps,target_direction_deg,prompt_text,expected_tags,available_in_current_results,notes
idle_seed00,static,idle,0,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed01,static,idle,1,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed02,static,idle,2,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed03,static,idle,3,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed04,static,idle,4,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed05,static,idle,5,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
idle_seed06,static,idle,6,150,0.0,0.0,Stand upright in a relaxed idle pose without traveling.,idle;standing;low_displacement,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed00,locomotion,walk,0,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed01,locomotion,walk,1,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed02,locomotion,walk,2,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed03,locomotion,walk,3,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed04,locomotion,walk,4,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed05,locomotion,walk,5,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
walk_seed06,locomotion,walk,6,200,0.65,0.0,Walk forward at a natural pace with balanced arm swing.,walk;forward;upright,__YES__,Mode-control prompt for local G1 preview; evaluate with trajectory/task proxies rather than language retrieval.
