prompt_id,domain,subcategory,prompt_text,success_criteria,expected_primary_contacts,expected_root_motion,expected_arm_role,current_motionbricks_support,motionbricks_mode_hint,evaluation_notes
sport_001,acrobatics,cartwheel_left,Perform a slow cartwheel to the left and recover to standing.,hands contact floor; body inverts laterally; stable final stance,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_002,acrobatics,cartwheel_right,Perform a slow cartwheel to the right and recover to standing.,hands contact floor; body inverts laterally; stable final stance,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_003,acrobatics,roundoff,Perform a cautious roundoff-like half cartwheel and land facing backward.,hand support; yaw change; two-foot landing,feet;hands,lateral_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_004,acrobatics,forward_roll,Perform a controlled forward roll and recover to kneeling.,body-floor roll; low impact; controlled kneel,body_floor;hands;knees,floor_roll,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_005,acrobatics,side_roll,Roll sideways on the floor and recover to a crouched stance.,side roll; low root; crouch recovery,body_floor;hands;feet,floor_roll,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_006,acrobatics,handstand_kickup,Kick up toward a brief handstand and return both feet to the floor.,hand support; inverted hips; controlled return,hands;feet,vertical_inversion,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_007,acrobatics,backbend_bridge,Lower into a backbend bridge and return to standing.,hands and feet support; arched torso; stable recovery,hands;feet,deep_extension,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_008,acrobatics,burpee,"Squat down, kick the legs back to a plank, return the feet under the body, and stand.",squat; plank; stand recovery,feet;hands,low_transition,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_009,acrobatics,split_squat_jump,Perform a small split-squat jump switching which foot is forward.,brief flight; leg switch; controlled landing,feet,aerial_or_impulsive,natural_or_unspecified,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_010,acrobatics,knee_slide_recovery,Slide forward briefly on both knees and recover to kneeling.,knee contact; forward slide; controlled stop,knees;feet,low_transition,support_or_recovery,__NO__,negative_control_high_risk,Unsupported by the local MotionBricks preview; evaluate only as future high-risk target behavior.
sport_011,soccer,soccer_inside_pass_right,Step forward and pass an imaginary soccer ball with the inside of the right foot.,right-foot swing; planted left support; controlled recovery,feet,mostly_stationary,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_012,soccer,soccer_inside_pass_left,Step forward and pass an imaginary soccer ball with the inside of the left foot.,left-foot swing; planted right support; controlled recovery,feet,mostly_stationary,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
sport_013,soccer,soccer_power_shot,Take two approach steps and perform a powerful right-foot soccer shot.,approach; large right-leg swing; stable landing,feet,forward_or_task_dependent,balance,__NO__,requires_task_conditioned_generator_or_retargeter,Requires sport/task-conditioned generation or retargeting before native SONIC evaluation.
